policy_id,customer_id,policy_effective_date,policy_expiration_date,policy_form,policy_status,annual_premium,deductible,wind_hail_deductible,hurricane_deductible,coverage_a_dwelling_flag,coverage_a_limit,coverage_b_other_structures_flag,coverage_b_limit,coverage_c_personal_property_flag,coverage_c_limit,coverage_d_loss_of_use_flag,coverage_d_limit,coverage_e_liability_flag,coverage_e_limit,coverage_f_medical_payments_flag,coverage_f_limit,first_line_of_address,county,state,zip_code,latitude,longitude,occupancy_type,property_value,property_age,roof_age,roof_material,construction_type,square_footage
POL00258,CUS00258,2015-09-09,2025-09-18,DP3,Active,7510,2500,10000,45600,1,913000,1,84000,1,619000,1,206000,1,300000,0,0,1115 E Twiggs St,Hillsborough,FL,33602,27.951524,-82.459604,Owner Occupied,1010000,50,7,Flat/TPO,Frame,2219
POL00259,CUS00259,2017-07-30,2026-02-25,HO3,Active,9630,2500,2500,53700,1,1074000,1,97000,1,636000,1,293000,1,500000,1,5000,1211 E Kennedy Blvd,Hillsborough,FL,33602,27.950366,-82.46105,Owner Occupied,1273000,25,25,Metal,Masonry,1391
POL00260,CUS00260,2017-09-27,2024-11-17,HO6,Active,9060,7500,10000,56800,1,1136000,1,109000,1,786000,1,278000,1,500000,1,5000,300 W Tyler St,Hillsborough,FL,33602,27.948668,-82.456928,Owner Occupied,1181000,63,13,Flat/TPO,Frame,4261
POL00261,CUS00261,2019-07-20,2024-02-21,HO3,Active,3810,5000,2500,9800,1,491000,1,73000,1,235000,1,117000,1,300000,1,1000,1011 E Cumberland Ave,Hillsborough,FL,33602,27.948032,-82.463042,Owner Occupied,616000,43,18,Metal,Concrete Block,1188
POL00262,CUS00262,2013-12-13,2025-02-20,HO6,Active,3460,1000,2500,9700,1,486000,1,52000,1,327000,1,78000,1,300000,1,5000,109 W Fortune St,Hillsborough,FL,33602,27.947222,-82.458452,Owner Occupied,593000,30,5,Concrete Tile,Concrete Block,2194
POL00263,CUS00263,2009-04-12,2024-07-17,HO3,Active,3470,2500,7500,38600,1,771000,1,108000,1,458000,1,117000,1,500000,1,10000,1011 E Cumberland Ave,Hillsborough,FL,33602,27.948032,-82.463042,Owner Occupied,854000,27,16,Metal,Concrete Block,2456
POL00264,CUS00264,2019-12-10,2025-09-18,HO6,Active,3620,10000,10000,22600,1,1131000,1,154000,1,705000,1,227000,1,500000,1,5000,109 W Fortune St,Hillsborough,FL,33602,27.947222,-82.458452,Secondary Residence,1381000,27,24,Asphalt Shingle,Masonry,2987
POL00265,CUS00265,2008-04-20,2024-04-17,HO5,Active,8020,1000,10000,35400,1,708000,1,90000,1,342000,1,191000,1,100000,1,10000,1211 E Kennedy Blvd,Hillsborough,FL,33602,27.950366,-82.46105,Secondary Residence,809000,3,3,Asphalt Shingle,Concrete Block,4213
POL00266,CUS00266,2018-07-17,2023-01-02,HO3,Active,8260,10000,2500,31000,1,1034000,1,111000,1,648000,1,159000,1,500000,1,2500,1211 E Kennedy Blvd,Hillsborough,FL,33602,27.950366,-82.46105,Owner Occupied,1089000,40,10,Asphalt Shingle,Masonry,2558
POL00267,CUS00267,2008-10-29,2022-12-19,HO3,Active,4870,2500,2500,17200,1,572000,1,78000,1,325000,1,106000,1,300000,1,5000,921 N Central Ave,Hillsborough,FL,33602,27.95189,-82.4639,Owner Occupied,793000,60,5,Asphalt Shingle,Reinforced Concrete,1629
POL00268,CUS00268,2017-04-25,2023-06-15,HO3,Active,9020,2500,5000,14300,1,478000,1,40000,1,271000,1,75000,1,100000,1,2500,300 W Tyler St,Hillsborough,FL,33602,27.948668,-82.456928,Owner Occupied,579000,36,16,Flat/TPO,Masonry Veneer,1516
POL00269,CUS00269,2019-03-11,2023-04-13,HO5,Active,8340,10000,2500,17700,1,886000,1,119000,1,501000,1,215000,1,500000,1,1000,109 W Fortune St,Hillsborough,FL,33602,27.947222,-82.458452,Secondary Residence,1207000,18,6,Metal,Masonry,1605
POL00270,CUS00270,2009-11-04,2023-05-21,HO6,Active,7790,2500,2500,9700,1,324000,1,32000,1,210000,1,66000,1,300000,1,1000,1211 E Kennedy Blvd,Hillsborough,FL,33602,27.950366,-82.46105,Owner Occupied,443000,20,10,Metal,Concrete Block,1826
POL00271,CUS00271,2021-08-30,2023-03-20,HO5,Active,4580,2000,2000,53400,1,1067000,1,128000,1,640000,1,234000,1,300000,1,2500,921 N Central Ave,Hillsborough,FL,33602,27.95189,-82.4639,Tenant Occupied,1389000,19,5,Asphalt Shingle,Concrete Block,874
POL00272,CUS00272,2010-02-01,2025-11-01,HO3,Active,3910,10000,10000,14500,1,727000,1,62000,1,352000,1,181000,1,100000,1,10000,1115 E Twiggs St,Hillsborough,FL,33602,27.951524,-82.459604,Owner Occupied,799000,66,6,Metal,Concrete Block,3756
POL00273,CUS00273,2007-12-22,2023-01-08,HO3,Active,4160,2500,5000,60200,1,1204000,1,108000,1,827000,1,221000,1,500000,1,1000,109 W Fortune St,Hillsborough,FL,33602,27.947222,-82.458452,Owner Occupied,1379000,21,10,Tile,Reinforced Concrete,993
POL00274,CUS00274,2012-08-31,2023-05-12,HO3,Active,4540,1500,2500,18000,1,359000,1,49000,1,245000,1,91000,1,500000,1,10000,300 W Tyler St,Hillsborough,FL,33602,27.948668,-82.456928,Owner Occupied,407000,28,1,Concrete Tile,Reinforced Concrete,2741
POL00275,CUS00275,2007-08-23,2022-10-18,HO6,Active,2740,2500,7500,9400,1,468000,0,0,1,291000,1,97000,1,500000,1,2500,300 W Tyler St,Hillsborough,FL,33602,27.948668,-82.456928,Secondary Residence,459000,46,27,Concrete Tile,Masonry,1517
POL00276,CUS00276,2016-12-21,2025-03-23,HO3,Active,9770,1500,5000,42600,1,851000,1,101000,1,524000,1,210000,1,300000,1,10000,109 W Fortune St,Hillsborough,FL,33602,27.947222,-82.458452,Owner Occupied,1053000,54,22,Asphalt Shingle,Masonry,3793
POL00277,CUS00277,2009-02-27,2024-05-18,DP3,Active,6880,1500,10000,20200,1,1008000,1,94000,1,472000,1,210000,1,100000,0,0,300 W Tyler St,Hillsborough,FL,33602,27.948668,-82.456928,Owner Occupied,1275000,44,31,Flat/TPO,Concrete Block,3049
POL00278,CUS00278,2009-05-24,2026-01-12,HO5,Active,7760,5000,2500,25000,1,499000,1,68000,1,324000,1,129000,1,300000,1,2500,921 N Central Ave,Hillsborough,FL,33602,27.95189,-82.4639,Secondary Residence,530000,51,30,Concrete Tile,Frame,1685
POL00279,CUS00279,2023-01-27,2025-08-25,HO3,Active,3110,2000,5000,18100,1,907000,0,0,1,541000,1,228000,1,300000,1,1000,1211 E Kennedy Blvd,Hillsborough,FL,33602,27.950366,-82.46105,Owner Occupied,1030000,39,14,Tile,Masonry Veneer,4182
POL00280,CUS00280,2019-04-28,2022-12-11,HO3,Active,3840,1000,2500,16600,1,333000,1,49000,1,209000,1,96000,1,300000,1,2500,1115 E Twiggs St,Hillsborough,FL,33602,27.951524,-82.459604,Owner Occupied,380000,64,32,Tile,Reinforced Concrete,4112
POL00281,CUS00281,2014-11-02,2025-07-05,HO5,Active,6030,7500,5000,8400,1,419000,1,43000,1,238000,1,70000,1,500000,1,10000,2828 NW 1st Ave,Miami-Dade,FL,33127,25.79715,-80.197564,Owner Occupied,439000,3,3,Asphalt Shingle,Frame,1340
POL00282,CUS00282,2023-06-16,2025-02-12,HO5,Active,3590,2500,2500,13100,1,262000,1,37000,1,142000,1,77000,1,300000,1,10000,901 W Chestnut St,Hillsborough,FL,33607,27.956886,-82.501454,Owner Occupied,279000,43,19,Flat/TPO,Masonry Veneer,3396
POL00283,CUS00283,2007-02-08,2023-10-29,HO6,Active,4810,1500,10000,10000,1,334000,1,36000,1,158000,1,89000,1,100000,1,10000,3131 NE 1st Ave,Miami-Dade,FL,33137,25.807112,-80.193906,Owner Occupied,378000,60,28,Flat/TPO,Concrete Block,1655
POL00284,CUS00284,2022-01-05,2025-09-01,HO6,Active,1930,10000,10000,58600,1,1173000,1,170000,1,564000,1,313000,1,500000,1,10000,4301 Urbana Dr,Orange,FL,32837,28.394856,-81.424922,Secondary Residence,1446000,43,9,Tile,Frame,4457
POL00285,CUS00285,2019-04-30,2024-11-06,HO3,Active,3620,2000,2500,23700,1,1186000,0,0,1,635000,1,207000,1,500000,1,5000,300 W Tyler St,Hillsborough,FL,33602,27.948668,-82.456928,Owner Occupied,1375000,59,18,Metal,Frame,2249
POL00286,CUS00286,2019-09-14,2026-02-06,HO3,Active,2350,1500,10000,8400,1,421000,1,51000,1,283000,1,123000,1,500000,1,5000,109 W Fortune St,Hillsborough,FL,33602,27.947222,-82.458452,Owner Occupied,482000,43,17,Tile,Frame,3529
POL00287,CUS00287,2017-06-15,2024-02-20,HO6,Active,4370,1500,7500,59300,1,1186000,1,126000,1,706000,1,290000,1,300000,1,5000,110 Zora Pl,Orange,FL,32810,28.615406,-81.425066,Owner Occupied,1350000,61,32,Metal,Masonry,1707
POL00288,CUS00288,2022-09-18,2025-11-16,HO3,Active,5960,1500,5000,37600,1,1252000,1,145000,1,864000,1,253000,1,100000,1,10000,1000 NW 7th St,Miami-Dade,FL,33136,25.78563,-80.201058,Owner Occupied,1231000,10,1,Asphalt Shingle,Masonry Veneer,1334
POL00289,CUS00289,2018-01-19,2024-03-24,HO3,Active,2660,7500,7500,48200,1,965000,1,141000,1,594000,1,229000,1,500000,1,1000,1115 E Twiggs St,Hillsborough,FL,33602,27.951524,-82.459604,Owner Occupied,1016000,53,15,Asphalt Shingle,Masonry Veneer,4145
POL00290,CUS00290,2008-07-22,2024-02-11,HO3,Active,3650,10000,7500,9400,1,471000,1,59000,1,242000,1,113000,1,100000,1,10000,1011 E Cumberland Ave,Hillsborough,FL,33602,27.948032,-82.463042,Owner Occupied,645000,54,16,Tile,Reinforced Concrete,1918
POL00291,CUS00291,2020-05-26,2024-11-01,HO3,Active,8070,7500,7500,31200,1,625000,1,61000,1,305000,1,156000,1,300000,1,1000,2633 Azalea Garden Pl,Hillsborough,FL,33619,27.938868,-82.369974,Owner Occupied,692000,15,1,Asphalt Shingle,Reinforced Concrete,1488
POL00292,CUS00292,2014-06-11,2025-02-10,HO3,Active,7540,2500,5000,33000,1,659000,1,90000,1,385000,1,158000,1,100000,1,1000,6600 NW 7th St,Miami-Dade,FL,33126,25.778214,-80.295246,Secondary Residence,664000,24,11,Asphalt Shingle,Masonry,1622
POL00293,CUS00293,2011-05-05,2023-10-21,HO3,Active,7620,1000,10000,42300,1,846000,1,70000,1,382000,1,147000,1,300000,1,1000,5009 Park Central Dr,Orange,FL,32839,28.48606,-81.403886,Owner Occupied,968000,13,13,Metal,Masonry,3385
POL00294,CUS00294,2019-08-12,2026-09-02,HO3,Active,2360,1000,10000,12000,1,240000,1,23000,1,125000,1,69000,1,100000,1,1000,9931 W Flagler St,Miami-Dade,FL,33174,25.75642,-80.352414,Owner Occupied,282000,72,14,Flat/TPO,Reinforced Concrete,2725
POL00295,CUS00295,2012-01-20,2024-12-24,HO3,Active,4970,5000,7500,36900,1,738000,1,73000,1,351000,1,121000,1,100000,1,1000,2828 NW 1st Ave,Miami-Dade,FL,33127,25.79715,-80.197564,Owner Occupied,1012000,25,25,Asphalt Shingle,Concrete Block,1081
POL00296,CUS00296,2017-06-27,2025-06-17,HO6,Active,6440,2500,7500,25500,1,1277000,1,154000,1,641000,1,285000,1,500000,1,2500,2633 Azalea Garden Pl,Hillsborough,FL,33619,27.938868,-82.369974,Owner Occupied,1306000,25,7,Concrete Tile,Masonry,3076
POL00297,CUS00297,2011-06-28,2024-10-02,HO3,Active,3500,1000,2500,34000,1,681000,1,73000,1,424000,1,203000,1,500000,1,5000,5432 W Tyson Ave,Hillsborough,FL,33611,27.888268,-82.506778,Owner Occupied,866000,12,12,Flat/TPO,Concrete Block,1915
POL00298,CUS00298,2020-01-12,2025-07-14,HO6,Active,4590,7500,2500,32600,1,1085000,0,0,1,583000,1,209000,1,300000,1,5000,101 Lake Ave,Orange,FL,32801,28.539466,-81.369524,Owner Occupied,1112000,17,17,Concrete Tile,Masonry,3527
POL00299,CUS00299,2016-03-16,2024-05-29,HO3,Active,6100,1500,1500,19700,1,985000,1,102000,1,568000,1,186000,1,100000,1,5000,645 NW 1st St,Miami-Dade,FL,33128,25.768528,-80.198928,Tenant Occupied,1306000,51,13,Metal,Frame,1924
POL00300,CUS00300,2023-03-10,2025-06-18,HO3,Active,7990,1500,7500,9000,1,452000,0,0,1,276000,1,102000,1,500000,1,1000,2650 Dade Ave,Orange,FL,32804,28.583628,-81.389606,Owner Occupied,471000,40,5,Asphalt Shingle,Masonry Veneer,3113
POL00301,CUS00301,2016-02-09,2026-04-27,HO3,Active,5000,1500,2500,47600,1,952000,1,134000,1,537000,1,277000,1,100000,1,10000,9200 Randal Park Blvd,Orange,FL,32832,28.412212,-81.243592,Tenant Occupied,1307000,12,12,Concrete Tile,Concrete Block,1355
POL00302,CUS00302,2013-07-06,2024-10-08,HO5,Active,5320,10000,5000,37800,1,756000,1,101000,1,402000,1,197000,1,300000,1,5000,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,Secondary Residence,799000,45,3,Concrete Tile,Masonry,2558
POL00303,CUS00303,2018-10-11,2022-05-27,HO6,Active,1880,2000,2500,45500,1,910000,1,94000,1,634000,1,185000,1,300000,1,2500,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,Owner Occupied,979000,45,23,Flat/TPO,Masonry,2757
POL00304,CUS00304,2012-11-22,2025-03-14,HO5,Active,4210,10000,5000,55300,1,1106000,1,104000,1,515000,1,223000,1,300000,1,10000,3000 NE 2nd Ave,Miami-Dade,FL,33137,25.808936,-80.195094,Owner Occupied,1254000,67,6,Flat/TPO,Frame,3214
POL00305,CUS00305,2009-12-18,2022-07-19,HO6,Active,9400,1500,10000,13400,1,268000,1,31000,1,153000,1,52000,1,500000,1,5000,4301 Urbana Dr,Orange,FL,32837,28.394856,-81.424922,Secondary Residence,266000,24,3,Tile,Masonry Veneer,3857
POL00306,CUS00306,2016-11-15,2023-06-27,HO5,Active,3230,1000,1000,21300,1,710000,1,81000,1,408000,1,188000,1,500000,1,10000,1211 E Kennedy Blvd,Hillsborough,FL,33602,27.950366,-82.46105,Owner Occupied,862000,24,1,Tile,Frame,3700
POL00307,CUS00307,2019-05-11,2025-01-27,HO3,Active,4900,2500,2500,21400,1,715000,1,65000,1,326000,1,129000,1,500000,1,10000,3131 NE 1st Ave,Miami-Dade,FL,33137,25.807112,-80.193906,Owner Occupied,790000,21,1,Metal,Frame,2249
POL00308,CUS00308,2017-12-06,2024-06-26,HO3,Active,3430,1500,1500,28200,1,564000,1,52000,1,369000,1,100000,1,300000,1,10000,520 E Church St,Orange,FL,32801,28.542388,-81.368972,Secondary Residence,592000,64,22,Concrete Tile,Concrete Block,1511
POL00309,CUS00309,2018-07-21,2026-06-27,HO3,Active,8550,5000,2500,31000,1,1032000,1,106000,1,688000,1,303000,1,500000,1,10000,6600 NW 7th St,Miami-Dade,FL,33126,25.778214,-80.295246,Tenant Occupied,1292000,26,26,Concrete Tile,Masonry Veneer,3132
POL00310,CUS00310,2016-04-28,2023-11-13,HO3,Active,2740,10000,5000,20800,1,693000,1,68000,1,397000,1,121000,1,300000,1,2500,3015 N Rocky Point Dr E,Hillsborough,FL,33607,27.964764,-82.501766,Owner Occupied,740000,20,9,Concrete Tile,Reinforced Concrete,1671
POL00311,CUS00311,2013-02-08,2022-12-31,HO6,Active,5510,2000,5000,9600,1,480000,1,71000,1,260000,1,116000,1,500000,1,5000,1011 E Cumberland Ave,Hillsborough,FL,33602,27.948032,-82.463042,Owner Occupied,556000,53,20,Flat/TPO,Masonry Veneer,3004
POL00312,CUS00312,2024-02-08,2025-05-13,DP3,Active,5250,7500,7500,5200,1,259000,1,24000,1,150000,1,51000,1,500000,0,0,109 W Fortune St,Hillsborough,FL,33602,27.947222,-82.458452,Owner Occupied,282000,30,12,Asphalt Shingle,Concrete Block,2648
POL00313,CUS00313,2016-06-15,2023-04-22,HO5,Active,6240,1500,10000,26600,1,532000,1,77000,1,353000,1,115000,1,100000,1,1000,6600 NW 7th St,Miami-Dade,FL,33126,25.778214,-80.295246,Tenant Occupied,538000,23,18,Tile,Reinforced Concrete,1877
POL00314,CUS00314,2022-07-04,2025-10-16,HO3,Active,5580,2500,5000,6400,1,214000,1,29000,1,111000,1,54000,1,300000,1,10000,710 NE 1st Ave,Miami-Dade,FL,33132,25.783848,-80.189314,Secondary Residence,223000,54,15,Flat/TPO,Masonry Veneer,1070
POL00315,CUS00315,2012-03-23,2025-12-06,HO3,Active,7950,5000,5000,27700,1,922000,1,110000,1,628000,1,183000,1,100000,1,5000,12112 Sugarloaf Key St,Hillsborough,FL,33626,28.058486,-82.624672,Tenant Occupied,962000,25,25,Metal,Frame,4239
POL00316,CUS00316,2010-07-10,2023-09-30,HO3,Active,6180,5000,2500,18800,1,942000,1,77000,1,547000,1,154000,1,300000,1,2500,2828 NW 1st Ave,Miami-Dade,FL,33127,25.79715,-80.197564,Owner Occupied,1191000,22,20,Metal,Masonry,4044
POL00317,CUS00317,2017-07-09,2025-06-01,HO3,Active,2410,1000,1000,31100,1,1036000,1,91000,1,594000,1,190000,1,100000,1,1000,9931 W Flagler St,Miami-Dade,FL,33174,25.75642,-80.352414,Owner Occupied,1409000,42,27,Metal,Frame,1965
POL00318,CUS00318,2018-08-17,2025-09-24,HO3,Active,6200,2000,7500,26600,1,533000,0,0,1,302000,1,140000,1,100000,1,1000,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,Secondary Residence,598000,38,31,Tile,Reinforced Concrete,3534
POL00319,CUS00319,2009-10-18,2025-07-30,HO6,Active,2180,2500,5000,10000,1,200000,1,19000,1,100000,1,36000,1,100000,1,2500,3131 NE 1st Ave,Miami-Dade,FL,33137,25.807112,-80.193906,Secondary Residence,245000,28,9,Asphalt Shingle,Masonry,2451
POL00320,CUS00320,2015-08-28,2023-03-05,HO3,Active,3940,2500,7500,20600,1,411000,1,50000,1,237000,1,76000,1,100000,1,5000,5432 W Tyson Ave,Hillsborough,FL,33611,27.888268,-82.506778,Owner Occupied,455000,69,15,Flat/TPO,Reinforced Concrete,3655
POL00321,CUS00321,2015-06-11,2025-04-16,HO3,Active,6910,2500,2500,23500,1,470000,0,0,1,227000,1,110000,1,300000,1,1000,1011 E Cumberland Ave,Hillsborough,FL,33602,27.948032,-82.463042,Owner Occupied,473000,48,17,Concrete Tile,Frame,1933
POL00322,CUS00322,2024-08-05,2025-07-24,HO3,Active,9560,1500,2500,13400,1,267000,1,39000,1,148000,1,73000,1,300000,1,10000,733 Main Ln,Orange,FL,32801,28.546738,-81.375962,Owner Occupied,343000,22,6,Flat/TPO,Masonry,3153
POL00323,CUS00323,2010-07-10,2023-01-12,HO3,Active,1820,10000,10000,13600,1,681000,1,93000,1,394000,1,185000,1,300000,1,2500,7511 Solstice Cir,Orange,FL,32821,28.411672,-81.46685,Owner Occupied,781000,74,14,Metal,Concrete Block,1072
POL00324,CUS00324,2015-10-29,2023-04-22,HO3,Active,8990,5000,7500,17400,1,871000,1,80000,1,424000,1,260000,1,500000,1,2500,410 N Orange Ave,Orange,FL,32801,28.538032,-81.373544,Secondary Residence,876000,63,7,Concrete Tile,Masonry,2221
POL00325,CUS00325,2018-12-09,2023-05-11,HO3,Active,3630,1500,5000,8100,1,270000,1,23000,1,172000,1,69000,1,500000,1,5000,3219 S Orange Ave,Orange,FL,32806,28.517866,-81.366976,Owner Occupied,301000,14,14,Concrete Tile,Masonry,818
POL00326,CUS00326,2016-02-11,2024-03-18,HO5,Active,5280,1500,10000,12300,1,246000,1,22000,1,139000,1,38000,1,100000,1,1000,710 NE 1st Ave,Miami-Dade,FL,33132,25.783848,-80.189314,Tenant Occupied,320000,12,12,Asphalt Shingle,Reinforced Concrete,1072
POL00327,CUS00327,2013-08-21,2022-08-24,HO3,Active,4900,5000,5000,67800,1,1356000,1,151000,1,754000,1,253000,1,500000,1,2500,3219 S Orange Ave,Orange,FL,32806,28.517866,-81.366976,Owner Occupied,1416000,75,27,Concrete Tile,Concrete Block,1853
POL00328,CUS00328,2012-10-25,2025-06-21,HO3,Active,8570,1000,2500,21500,1,430000,1,59000,1,232000,1,111000,1,300000,1,2500,452 NE 31st St,Miami-Dade,FL,33137,25.805582,-80.194716,Tenant Occupied,553000,57,3,Flat/TPO,Concrete Block,2493
POL00329,CUS00329,2018-05-17,2025-06-23,HO5,Active,2770,2000,2500,13400,1,267000,1,37000,1,133000,1,52000,1,100000,1,2500,230 NE 4th St,Miami-Dade,FL,33132,25.781976,-80.192572,Owner Occupied,328000,69,21,Concrete Tile,Masonry,2490
POL00330,CUS00330,2008-01-20,2023-06-14,HO3,Active,9050,5000,5000,41300,1,1376000,1,145000,1,620000,1,403000,1,300000,1,5000,5009 Park Central Dr,Orange,FL,32839,28.48606,-81.403886,Owner Occupied,1432000,13,13,Flat/TPO,Frame,2054
POL00331,CUS00331,2016-01-14,2025-04-08,HO6,Active,4220,5000,2500,50600,1,1013000,1,113000,1,630000,1,238000,1,500000,1,10000,55 NE 2nd St,Miami-Dade,FL,33132,25.784184,-80.187508,Tenant Occupied,1109000,75,9,Asphalt Shingle,Reinforced Concrete,3257
POL00332,CUS00332,2022-04-11,2023-11-08,HO5,Active,3840,10000,7500,53600,1,1073000,1,97000,1,726000,1,227000,1,300000,1,2500,12112 Sugarloaf Key St,Hillsborough,FL,33626,28.058486,-82.624672,Owner Occupied,1253000,21,10,Concrete Tile,Masonry,3550
POL00333,CUS00333,2007-07-31,2023-05-24,HO5,Active,3450,5000,2500,25600,1,1281000,1,142000,1,600000,1,267000,1,100000,1,2500,3000 NE 2nd Ave,Miami-Dade,FL,33137,25.808936,-80.195094,Owner Occupied,1421000,18,2,Flat/TPO,Masonry Veneer,1827
POL00334,CUS00334,2008-11-29,2023-12-18,DP3,Active,2380,2000,5000,32800,1,657000,1,93000,1,372000,1,143000,0,0,0,0,1211 E Kennedy Blvd,Hillsborough,FL,33602,27.950366,-82.46105,Owner Occupied,679000,38,16,Asphalt Shingle,Reinforced Concrete,3832
POL00335,CUS00335,2011-11-05,2022-10-02,HO6,Active,6290,10000,2500,16900,1,564000,0,0,1,326000,1,137000,1,300000,1,5000,3015 N Rocky Point Dr E,Hillsborough,FL,33607,27.964764,-82.501766,Owner Occupied,675000,27,17,Metal,Frame,1561
POL00336,CUS00336,2016-01-07,2022-04-08,DP3,Active,4830,7500,7500,19700,1,657000,1,57000,1,312000,1,165000,0,0,0,0,101 Lake Ave,Orange,FL,32801,28.539466,-81.369524,Owner Occupied,781000,41,18,Asphalt Shingle,Masonry Veneer,2151
POL00337,CUS00337,2021-03-03,2025-01-20,HO3,Active,4250,10000,5000,29200,1,972000,1,120000,1,519000,1,167000,1,100000,1,5000,901 W Chestnut St,Hillsborough,FL,33607,27.956886,-82.501454,Owner Occupied,1072000,63,14,Asphalt Shingle,Reinforced Concrete,3093
POL00338,CUS00338,2019-01-09,2025-05-12,HO3,Active,8870,7500,2500,9500,1,476000,1,53000,1,251000,1,84000,1,300000,1,5000,710 NE 1st Ave,Miami-Dade,FL,33132,25.783848,-80.189314,Owner Occupied,503000,19,19,Concrete Tile,Concrete Block,3336
POL00339,CUS00339,2021-05-11,2025-11-24,HO5,Active,3270,5000,5000,15700,1,524000,1,76000,1,339000,1,113000,1,100000,1,5000,109 W Fortune St,Hillsborough,FL,33602,27.947222,-82.458452,Owner Occupied,657000,75,19,Concrete Tile,Frame,3649
POL00340,CUS00340,2013-01-25,2023-12-03,HO3,Active,9520,7500,10000,11100,1,371000,1,36000,1,207000,1,103000,1,300000,1,5000,921 N Central Ave,Hillsborough,FL,33602,27.95189,-82.4639,Owner Occupied,502000,67,21,Concrete Tile,Masonry Veneer,3153
POL00341,CUS00341,2021-09-08,2024-12-21,HO3,Active,8480,2000,2500,27800,1,1388000,1,163000,1,956000,1,400000,1,300000,1,1000,9200 Randal Park Blvd,Orange,FL,32832,28.412212,-81.243592,Owner Occupied,1411000,5,5,Flat/TPO,Concrete Block,1977
POL00342,CUS00342,2016-01-19,2024-08-01,HO3,Active,3390,1500,5000,21600,1,721000,1,98000,1,436000,1,198000,1,100000,1,1000,2901 NE 1st Ave,Miami-Dade,FL,33137,25.802168,-80.187402,Owner Occupied,903000,7,7,Flat/TPO,Masonry Veneer,3995
POL00343,CUS00343,2010-03-24,2023-09-04,HO3,Active,7390,1500,1500,9700,1,484000,0,0,1,306000,1,94000,1,500000,1,1000,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,Secondary Residence,474000,31,22,Concrete Tile,Masonry Veneer,4467
POL00344,CUS00344,2012-12-05,2025-01-14,HO3,Active,6890,2500,2500,46400,1,927000,1,114000,1,469000,1,267000,1,500000,1,2500,3219 S Orange Ave,Orange,FL,32806,28.517866,-81.366976,Owner Occupied,1023000,39,31,Flat/TPO,Concrete Block,1773
POL00345,CUS00345,2011-10-17,2025-01-08,HO6,Active,3290,7500,7500,23600,1,785000,1,94000,1,398000,1,157000,1,300000,1,10000,310 N Orange Ave,Orange,FL,32801,28.543216,-81.372806,Owner Occupied,818000,8,7,Tile,Reinforced Concrete,1400
POL00346,CUS00346,2012-12-10,2023-09-27,HO6,Active,2880,7500,2500,23200,1,1162000,1,158000,1,704000,1,291000,1,100000,1,5000,2751 NW 84th St,Miami-Dade,FL,33147,25.858766,-80.24016,Secondary Residence,1425000,56,29,Metal,Concrete Block,1273
POL00347,CUS00347,2017-09-08,2025-05-24,HO5,Active,6960,5000,5000,60500,1,1210000,1,146000,1,681000,1,238000,1,500000,1,2500,3219 S Orange Ave,Orange,FL,32806,28.517866,-81.366976,Owner Occupied,1245000,55,28,Metal,Masonry,1226
POL00348,CUS00348,2020-02-06,2025-10-03,HO6,Active,3380,10000,5000,10900,1,543000,1,69000,1,256000,1,155000,1,500000,1,10000,6970 SW 40th St,Miami-Dade,FL,33155,25.7421,-80.313298,Owner Occupied,641000,56,16,Tile,Masonry,3279
POL00349,CUS00349,2015-09-29,2023-06-09,HO6,Active,3300,2500,2500,31000,1,1032000,1,133000,1,466000,1,227000,1,300000,1,1000,410 N Orange Ave,Orange,FL,32801,28.538032,-81.373544,Secondary Residence,1088000,14,14,Metal,Frame,4486
POL00350,CUS00350,2020-12-05,2025-06-01,HO3,Active,7660,10000,2500,16600,1,555000,1,70000,1,326000,1,102000,1,500000,1,5000,4000 Headwaters Way,Orange,FL,32837,28.386144,-81.418598,Owner Occupied,626000,54,8,Metal,Masonry Veneer,3479
POL00351,CUS00351,2020-03-06,2022-04-06,HO5,Active,7760,2500,2500,16100,1,322000,1,36000,1,219000,1,78000,1,100000,1,1000,2901 NE 1st Ave,Miami-Dade,FL,33137,25.802168,-80.187402,Owner Occupied,371000,57,20,Asphalt Shingle,Masonry Veneer,1338
POL00352,CUS00352,2013-03-29,2024-11-18,HO3,Active,5860,2500,7500,22000,1,1101000,1,90000,1,764000,1,251000,1,100000,1,5000,1000 NW 7th St,Miami-Dade,FL,33136,25.78563,-80.201058,Secondary Residence,1098000,10,7,Metal,Concrete Block,2778
POL00353,CUS00353,2020-04-09,2024-03-07,HO5,Active,4390,2500,5000,11600,1,582000,1,52000,1,330000,1,171000,1,300000,1,1000,7511 Solstice Cir,Orange,FL,32821,28.411672,-81.46685,Owner Occupied,752000,19,6,Asphalt Shingle,Masonry Veneer,2844
POL00354,CUS00354,2021-02-04,2025-08-23,HO3,Active,2000,7500,5000,12900,1,430000,1,39000,1,295000,1,98000,1,300000,1,1000,2650 Dade Ave,Orange,FL,32804,28.583628,-81.389606,Owner Occupied,529000,6,6,Flat/TPO,Concrete Block,1106
